CHI2,ANOVA,SVM
OTU03336,#N/A,#N/A
OTU00589,#N/A,OTU00589
OTU06543,#N/A,OTU06543
OTU01848,#N/A,OTU01848
OTU03408,#N/A,OTU03408
OTU03327,#N/A,#N/A
OTU01374,#N/A,OTU01374
OTU04145,#N/A,OTU04145
OTU02457,#N/A,OTU02457
OTU03373,#N/A,OTU03373
OTU03396,#N/A,OTU03396
OTU02625,#N/A,OTU02625
OTU00424,#N/A,OTU00424
OTU03683,#N/A,OTU03683
OTU01356,#N/A,OTU01356
OTU01011,#N/A,#N/A
OTU01453,#N/A,OTU01453
OTU02456,#N/A,OTU02456
OTU02858,#N/A,OTU02858
OTU00947,#N/A,OTU00947
OTU03024,#N/A,OTU03024
OTU02448,#N/A,#N/A
OTU01575,#N/A,OTU01575
OTU01226,#N/A,#N/A
OTU02009,#N/A,#N/A
OTU01700,#N/A,OTU01700
OTU01345,#N/A,OTU01345
OTU00868,#N/A,OTU00868
OTU00767,#N/A,#N/A
OTU05044,#N/A,#N/A
OTU04119,#N/A,#N/A
OTU01183,#N/A,#N/A
OTU00854,#N/A,#N/A
OTU02856,#N/A,#N/A
OTU00963,#N/A,#N/A
OTU00407,#N/A,#N/A
OTU00994,#N/A,#N/A
OTU03642,#N/A,#N/A
OTU01187,#N/A,#N/A
OTU02563,#N/A,#N/A
OTU04973,#N/A,#N/A
OTU02187,#N/A,#N/A
OTU02669,#N/A,#N/A
OTU01943,#N/A,#N/A
OTU02819,#N/A,#N/A
OTU02070,#N/A,#N/A
OTU02667,#N/A,#N/A
OTU03242,#N/A,#N/A
OTU02818,#N/A,#N/A
OTU02785,#N/A,#N/A